pitcher_id,pitcher_name,workload_category,mean_velo_dev,count
621348,Sam Clay,Low,-0.005367162599311955,22
656061,Albert Abreu,Medium,-0.03952429560188945,59
543022,Tyler Chatwood,Low,-0.25946540788646644,5
664948,Anthony Misiewicz,Low,0.03050812760426341,34
670059,Colin Holderman,Medium,0.03623793650704386,55
677053,Andrew Nardi,Medium,0.03152367464125369,78
676477,Garrett Whitlock,Medium,0.11110702373753156,29
663485,Cole Sands,Medium,0.01761456969419433,33
656322,Sam Coonrod,Low,-0.17507864099421036,12
643511,Tyler Rogers,Low,-0.10357924047302357,95
670167,John Schreiber,High,0.09852581280344148,14
607560,Ryne Harper,Low,0.07479106800765578,16
592390,Heath Hembree,Medium,-0.12589558489178784,30
621363,Colin Poche,High,-0.36833922157990173,5
642083,Aaron Slegers,Medium,-0.21478239274064492,16
607216,Joey Krehbiel,Low,0.5026381593352324,25
650960,Daniel Duarte,Low,0.17474365996136498,10
681869,Shawn Dubin,Medium,-0.2738888544137202,15
693312,Kyle Nicolas,Low,0.12823800383485315,13
656222,Jalen Beeks,High,-1.0449201317831354,10
669459,Kyle Nelson,Medium,0.03511180193772454,44
676477,Garrett Whitlock,Low,-0.2945457471765805,13
476595,Lucas Luetge,Medium,0.013985230363685798,63
656945,Tanner Scott,High,0.0465226455003912,39
607625,Seth Lugo,Low,-0.08417439041826293,36
543056,Danny Coulombe,Low,0.016509890564531914,40
592858,Rowan Wick,High,-0.14419382877100162,10
592761,Caleb Smith,Medium,0.03496698782541533,21
650895,Diego Castillo,High,-0.5050369400714174,5
605130,Scott Barlow,High,0.11457643307430918,33
544727,Jeurys Familia,Medium,-0.12254411495273697,68
663546,Sean Hjelle,Medium,-0.08211076750556329,35
669060,Bryse Wilson,High,0.19792282946744777,8
622092,Kyle Zimmer,Low,-0.019834326784321378,10
666808,Camilo Doval,Low,-0.34563066784293944,57
670955,Edwin Uceta,Medium,0.1084994375327284,18
595465,Dan Winkler,Medium,0.07885861369471142,29
641871,Keynan Middleton,Low,0.10012489422783194,37
594577,Mike Mayers,Low,0.01582756610683514,19
605280,Clay Holmes,Low,-0.028371596034175283,86
669424,Jimmy Lambert,High,0.01259995022500012,6
623474,Jimmy Herget,Medium,-0.09426963825646899,33
663559,Bailey Falter,Low,0.10775002830721785,9
570666,Luis Cessa,Medium,0.20988394988846307,22
676534,Calvin Faucher,High,-0.6249883630481406,5
554431,Tyler Matzek,Low,0.11331943456836377,40
680767,Victor Vodnik,Medium,0.0967834347025357,34
605488,Jeffrey Springs,Low,-0.007418655193043201,9
445276,Kenley Jansen,Medium,0.05250562241694264,112
621383,Tanner Banks,Low,-0.2514905671075276,12
623149,Paul Sewald,High,0.029368703391462032,33
605151,Archie Bradley,High,-0.13795151195845637,7
595014,Blake Treinen,Low,-0.13182559784716613,46
606160,Rafael Montero,High,-0.19619368793726627,15
670059,Colin Holderman,Low,-0.07349939618822943,45
605447,Jordan Romano,Medium,-0.05542420931288239,107
570663,Hansel Robles,High,0.2496807383821391,7
641682,Ryan Hendrix,Medium,0.09073295985062775,12
656464,Kevin Ginkel,Low,0.1040569175016877,40
628708,Yunior Marte,Low,0.05767631542935666,26
489334,Craig Stammen,Medium,-0.09017112311647285,18
670167,John Schreiber,Low,-0.1058573654900736,45
650828,Edgar Santana,Medium,0.03659478466634128,17
666808,Camilo Doval,Medium,0.09437144369072464,108
623474,Jimmy Herget,Low,0.3427021533534802,8
664849,Danny Young,Low,-0.059197988796089805,19
476595,Lucas Luetge,High,0.3803734781811438,12
622251,Josh Staumont,Medium,0.04438913569990539,59
621381,Matt Strahm,Medium,-0.09271990703936499,58
543507,Trevor May,High,0.14818158585030689,5
596133,Luke Weaver,Medium,0.013067382421658577,48
571656,Buck Farmer,Medium,0.0020773507286391585,140
686539,Declan Cronin,Medium,-0.19145651111287576,25
622088,Tejay Antone,Low,-0.22793407128932586,6
657097,Jacob Webb,Low,0.05240556559331206,30
641793,Zack Littell,Medium,0.08381419138436086,64
664126,Pete Fairbanks,Medium,-0.05108016123157005,71
606965,Chris Devenski,Low,-0.04119041606542027,10
675916,James Karinchak,High,0.06531149223481236,21
628452,Raisel Iglesias,High,0.18712338554082789,11
573009,Joe Mantiply,Low,0.07926686108767836,97
676714,Brandon Hughes,High,-0.3377538628423419,7
688297,Chris Roycroft,Low,-0.011194691432874512,6
681892,Kody Funderburk,Low,-0.34765528254798045,6
640444,Wil Crowe,High,-0.17401272247900673,15
668868,Zack Thompson,Medium,0.1301870220422927,10
503449,Wily Peralta,High,-0.382165534716043,5
686747,Joe La Sorsa,Low,-0.056807177279354124,13
502202,Brad Boxberger,Low,0.4065461216063847,43
656353,Tucker Davidson,Medium,0.1270884888833293,19
660813,Brusdar Graterol,Low,0.09671796467270236,53
657585,Reed Garrett,High,-0.821074723350217,6
681806,Andrew Wantz,High,0.6364257794085006,5
605242,Michael Fulmer,Medium,-0.055074134360460616,84
521230,Liam Hendriks,Medium,-0.007011750292834568,66
656641,Jacob Latz,Medium,-0.11994651982630973,26
622098,Drew Smith,High,0.08204642892938334,6
656945,Tanner Scott,Low,-0.086030177428539,63
680767,Victor Vodnik,High,0.07126902487125518,14
622092,Kyle Zimmer,Medium,-0.005314488878125424,33
666374,Matt Brash,High,0.11467394630222572,10
608718,Brent Suter,Low,-0.01229761412320694,52
545343,Louis Head,Medium,0.04001819105933955,11
693312,Kyle Nicolas,High,-0.060819518747550205,8
606930,Jacob Barnes,Low,-0.34141492408828356,8
676534,Calvin Faucher,Medium,-0.14425166672681733,36
683627,Anthony Molina,Medium,-0.05853023446788838,17
663432,Tanner Rainey,High,0.46935794449368873,5
650530,Bryan Garcia,Low,-0.08523971053382143,18
642152,Lou Trivino,High,-0.1710275307397552,10
670955,Edwin Uceta,Low,0.018823242887900653,7
665625,Elvis Peguero,Medium,0.04200192246293215,66
643493,Austin Pruitt,High,-0.07148878082701467,7
622250,Josh Sborz,Medium,0.07417833835654913,58
689225,Beau Brieske,Medium,0.058927704879137205,9
669060,Bryse Wilson,Low,0.06777302212468518,15
623149,Paul Sewald,Low,0.034042792882430374,71
701643,Grant Hartwig,High,0.1935241165035791,5
647315,Zach Pop,Medium,-0.029822479147190783,80
612434,Miguel Castro,Low,0.10301022508168765,45
664139,Ian Gibaut,Medium,0.08175265230871774,73
573668,Juan Minaya,Low,-0.013256084269166024,6
502624,Chase Anderson,High,-0.02960926170059395,5
623433,Nick Anderson,Low,-0.004718590719349943,28
669276,Dylan Lee,Low,0.09109069347813689,46
656232,Brandon Bielak,Low,0.439619972747987,7
622503,Nabil Crismatt,High,0.10395385598877382,16
455119,Chris Martin,Low,0.05804735785956518,108
621052,Alex Reyes,Medium,-0.08702744260309023,31
548384,Brooks Raley,Low,-0.05339649939607541,77
664854,Ryan Helsley,High,-0.11845613253225551,8
661403,Emmanuel Clase,High,-0.1499789166706601,15
608717,Chris Stratton,High,-0.008645087589101407,40
686826,Bryce Jarvis,High,-0.3016603265319096,15
445276,Kenley Jansen,Low,-0.09346373417280114,112
571479,Andrew Bellatti,Low,-0.06934640895163753,20
641302,Tyler Alexander,High,0.5829911165719466,5
623437,Justin Topa,Low,0.22464580574172288,24
605447,Jordan Romano,Low,0.06884300654317493,67
542960,Brad Brach,Low,-0.0980353382670687,9
656638,Alex Lange,High,-0.13604280453753453,7
543859,Michael Tonkin,High,0.07280617543716517,22
623352,Josh Hader,High,-0.3859361062867756,14
621295,Nick Wittgren,Low,0.5680337043091225,21
666619,Gregory Santos,Medium,-0.057611648223429054,40
671345,Jason Foley,Medium,-0.02173136266769256,115
666974,Yennier Cano,Medium,-0.05882653581570435,86
453343,Mark Melancon,High,-0.1922334538405579,8
650556,Bryan Abreu,Low,0.12776268442396957,59
656234,Jake Bird,Medium,0.03061106906939358,50
453178,Ian Kennedy,High,0.16921948897444375,6
456034,David Price,Medium,-0.26320776514959476,20
686826,Bryce Jarvis,Medium,0.27462189573406187,22
606160,Rafael Montero,Medium,-0.0560912909547375,139
595345,Steven Okert,Medium,0.07360646945863213,67
